"treatment","genotype","replicate","age","clutch1","clutches","fecundity","dead","lifespan","death","size_m","size_c1","size_c3"
"T1","Mugg6b",26,11,2,3,10,3,18,0,1535.6,584.2,594.4
"T1","Mugg6b",180,11,1,3,9,3,18,0,1745.31,NA,619.8
"T1","Mugg6b",178,17,3,3,12,2,22,0,1717.62,604.4,623
"T1","Mugg6b",173,12,3,3,9,2,17,0,1608.11,558.1,609.9
"T1","Mugg6b",30,13,1,3,7,2,17,0,1486.01,586,602.7
"T1","Mugg6b",148,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T1","Mugg6b",55,15,2,3,11,2,19,0,1737.73,594.8,605.2
"T1","Mugg6b",51,12,3,3,13,2,17,0,1534.33,565.9,584.3
"T1","Mugg6b",52,12,2,3,11,2,17,0,1688.73,592.2,566
"T1","Mugg6b",187,12,3,3,10,2,17,0,1680.05,567.2,599.2
"T1","Mugg6b",179,12,2,3,10,2,16,0,1527.06,592.3,614.8
"T1","Mugg6b",205,11,2,3,8,3,16,0,1573.26,576.5,607.2
"T1","Mugg6b",207,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T1","Mugg6b",193,10,1,3,10,2,17,0,1427,592.1,600
"T1","Mugg6b",181,15,3,3,13,2,20,0,1536.41,607.4,590
"T1","Mugg7a",140,8,2,3,8,2,13,0,1370.41,529.8,589
"T1","Mugg7a",87,9,1,3,7,2,14,0,1387.48,NA,578.4
"T1","Mugg7a",75,10,1,3,9,2,15,0,1427.36,547.4,612.1
"T1","Mugg7a",80,8,2,3,5,2,13,0,1341.17,542.4,545.8
"T1","Mugg7a",81,14,5,3,19,2,19,0,1586.29,570,593.2
"T1","Mugg7a",82,10,2,3,12,2,14,0,1426.95,579.8,570.5
"T1","Mugg7a",79,9,1,3,8,2,14,0,1521.57,589.1,605.1
"T1","Mugg7a",83,9,1,3,8,2,14,0,1448.98,578.7,581.1
"T1","Mugg7a",78,10,2,3,9,2,14,0,1445.14,552.6,556.7
"T1","Mugg7a",84,10,2,3,11,2,14,0,1402.6,576.6,606.2
"T1","Mugg7a",77,11,3,3,8,2,16,0,1452.62,565.5,NA
"T1","Mugg7a",184,16,3,3,8,2,20,0,1377.36,526,525.8
"T1","Mugg7a",212,NA,NA,0,NA,1,7,1,NA,NA,NA
"T1","Mugg7a",199,NA,NA,0,NA,1,4,1,NA,NA,NA
"T1","Mugg7a",186,9,2,3,10,2,14,0,1485.49,571,607
"T1","Mugg11c",225,8,2,3,9,2,12,0,1368.99,533.9,546.5
"T1","Mugg11c",203,8,2,3,8,2,12,0,1364.69,NA,484.7
"T1","Mugg11c",197,9,1,3,8,2,14,0,1353.97,513.8,580.1
"T1","Mugg11c",188,11,2,3,8,2,16,0,1378.43,NA,515.5
"T1","Mugg11c",183,10,3,3,9,2,15,0,1327.16,537.2,551.7
"T1","Mugg11c",204,11,3,3,10,2,16,0,1359.76,519,562.7
"T1","Mugg11c",196,NA,NA,0,NA,1,2,1,NA,NA,NA
"T1","Mugg11c",214,10,2,3,10,2,16,0,1427.15,577.4,567.1
"T1","Mugg11c",211,9,2,3,11,2,13,0,1388.26,595.7,543.6
"T1","Mugg11c",208,12,1,3,8,2,16,0,1338.62,582.1,551.5
"T1","Mugg11c",229,11,2,3,11,3,17,0,1484.86,545.5,515
"T1","Mugg11c",228,10,1,3,10,2,14,0,1345.85,575.7,505.7
"T1","Mugg11c",226,NA,NA,0,NA,1,2,1,NA,NA,NA
"T1","Mugg11c",224,15,3,3,14,2,20,0,1406.74,533.3,557
"T1","Mugg13c",92,11,3,3,9,2,16,0,1583.96,576.7,600.3
"T1","Mugg13c",98,11,3,3,10,2,16,0,1469.49,558.9,609.1
"T1","Mugg13c",99,14,3,3,12,2,19,0,1800.3,588.1,605.3
"T1","Mugg13c",101,9,1,3,11,2,14,0,1610.09,NA,612
"T1","Mugg13c",93,NA,NA,0,NA,1,3,1,NA,NA,NA
"T1","Mugg13c",147,16,3,3,10,2,20,0,1453.71,558.8,559.7
"T1","Mugg13c",146,15,1,3,11,2,19,0,1487.22,535.1,607.7
"T1","Mugg13c",60,14,2,3,10,2,18,0,1597.88,551.8,538.7
"T1","Mugg13c",59,12,1,3,10,2,17,0,1316.35,564.6,581.2
"T1","Mugg13c",62,12,3,3,12,2,16,0,1558.81,561.7,584.9
"T1","Mugg13c",68,15,4,3,10,2,19,0,1574.88,598.4,NA
"T1","Mugg13c",185,11,3,3,13,2,16,0,1515.75,594.9,615.9
"T1","Mugg13c",102,12,2,3,11,3,16,0,1507.07,555.4,567.1
"T1","Mugg13c",174,9,1,3,7,3,14,0,1593.7,554.4,558.8
"T1","Mugg13c",195,9,1,3,11,2,14,0,1647.01,586.2,603
