"treatment"	"genotype"	"replicate"	"age"	"clutch1"	"clutches"	"fecundity"	"dead"	"lifespan"	"death"	"size_m"	"size_c1"	"size_c3"
"T3"	"Mugg6b"	190	10	2	3	4	2	16	0	1747.82	590	NA
"T3"	"Mugg6b"	53	10	2	3	5	2	15	0	1584.18	572	662.8
"T3"	"Mugg6b"	150	10	3	3	7	2	15	0	1588.03	581.7	608.6
"T3"	"Mugg6b"	218	10	4	3	7	2	15	0	1545.01	572.9	655.8
"T3"	"Mugg6b"	61	10	3	3	8	3	18	0	1584.73	601.7	654
"T3"	"Mugg6b"	149	10	3	3	8	2	15	0	1517.2	554.3	619.3
"T3"	"Mugg6b"	41	13	1	3	2	3	18	0	1814.54	578.7	576.5
"T3"	"Mugg6b"	38	10	4	3	6	2	20	0	1542.25	572.2	651
"T3"	"Mugg6b"	37	10	1	3	5	4	15	0	1502.92	549.4	617.4
"T3"	"Mugg6b"	57	10	4	3	9	2	18	0	1531.74	579.2	NA
"T3"	"Mugg6b"	177	10	4	3	7	3	15	0	1582.37	562.6	NA
"T3"	"Mugg6b"	54	10	2	3	5	2	17	0	1516.16	585.3	NA
"T3"	"Mugg6b"	176	10	1	3	3	3	16	0	1814.83	554.3	NA
"T3"	"Mugg6b"	216	11	1	3	3	2	20	0	1573.21	658.9	563.7
"T3"	"Mugg7a"	40	11	3	3	7	2	15	0	1583.13	610.2	611.1
"T3"	"Mugg7a"	160	10	2	3	6	2	15	0	1433.94	556.5	614.5
"T3"	"Mugg7a"	169	10	2	3	5	2	15	0	1437.16	601.2	610.2
"T3"	"Mugg7a"	161	10	2	3	9	2	15	0	1526.91	565.9	584
"T3"	"Mugg7a"	159	10	3	3	7	2	18	0	1404.15	563.1	571.4
"T3"	"Mugg7a"	31	10	2	3	5	2	16	0	1421.79	581.3	615.5
"T3"	"Mugg7a"	138	10	3	3	6	2	17	0	1527.38	582.2	583.2
"T3"	"Mugg7a"	45	10	3	3	6	2	15	0	1594.6	568.5	606.7
"T3"	"Mugg7a"	164	10	2	3	4	4	18	0	1697.83	NA	618.4
"T3"	"Mugg7a"	170	10	0	3	6	3	17	0	1692.81	NA	561
"T3"	"Mugg7a"	21	10	1	3	4	4	15	0	1401.24	NA	612.1
"T3"	"Mugg7a"	136	13	2	3	6	2	18	0	1721.46	612.9	541.3
"T3"	"Mugg7a"	129	17	1	1	1	2	17	1	NA	596.6	NA
"T3"	"Mugg7a"	163	10	0	3	3	5	15	0	1555.03	NA	544.8
"T3"	"Mugg7a"	137	11	0	3	3	3	16	0	1475.12	NA	595.1
"T3"	"Mugg11c"	139	11	0	3	7	3	19	0	1476.51	NA	561.6
"T3"	"Mugg11c"	43	12	2	1	2	2	12	1	NA	577.2	NA
"T3"	"Mugg11c"	42	8	3	1	3	2	7	1	NA	546.6	NA
"T3"	"Mugg11c"	130	13	2	3	5	2	18	0	1397.4	561.7	572.7
"T3"	"Mugg11c"	217	10	4	3	10	3	17	0	1508.2	557.6	494.1
"T3"	"Mugg11c"	219	10	3	3	6	3	14	0	1330	521.3	NA
"T3"	"Mugg11c"	210	10	0	2	3	6	11	1	NA	NA	NA
"T3"	"Mugg11c"	215	NA	NA	0	NA	1	4	1	NA	NA	NA
"T3"	"Mugg11c"	36	NA	NA	0	NA	1	8	1	NA	NA	NA
"T3"	"Mugg11c"	168	NA	NA	0	NA	1	11	1	NA	NA	NA
"T3"	"Mugg11c"	233	8	3	3	8	2	19	0	1555.85	559.8	568.5
"T3"	"Mugg11c"	206	11	3	3	6	2	15	0	1317.63	582.2	NA
"T3"	"Mugg11c"	182	NA	NA	0	NA	1	0	1	NA	NA	NA
"T3"	"Mugg11c"	223	NA	NA	0	NA	1	5	1	NA	NA	NA
"T3"	"Mugg11c"	175	9	2	3	7	2	14	0	1261.24	565.9	532.6
"T3"	"Mugg13c"	156	9	3	3	6	2	20	0	1529.25	582.7	643
"T3"	"Mugg13c"	209	12	0	3	3	4	16	0	1438.49	NA	617.6
"T3"	"Mugg13c"	91	10	1	3	3	2	18	0	1662.85	576.9	NA
"T3"	"Mugg13c"	200	NA	NA	0	NA	1	0	1	NA	NA	NA
"T3"	"Mugg13c"	105	NA	NA	0	NA	1	0	1	NA	NA	NA
"T3"	"Mugg13c"	155	9	3	3	4	5	15	0	1447.58	608.2	NA
"T3"	"Mugg13c"	227	14	1	2	3	4	18	1	NA	694.8	NA
"T3"	"Mugg13c"	240	10	1	3	2	4	17	0	1459.79	571.8	648.3
"T3"	"Mugg13c"	153	NA	NA	0	NA	1	2	1	NA	NA	NA
"T3"	"Mugg13c"	221	11	1	3	7	5	20	0	1513.74	NA	587.6
"T3"	"Mugg13c"	151	NA	NA	0	NA	1	0	1	NA	NA	NA
"T3"	"Mugg13c"	119	NA	NA	0	NA	1	13	1	NA	NA	NA
"T3"	"Mugg13c"	222	9	2	3	3	3	18	0	1540.98	609.8	NA
"T3"	"Mugg13c"	120	NA	NA	0	NA	1	2	1	NA	NA	NA
"T3"	"Mugg13c"	2	10	2	3	3	3	16	0	1767.33	585.5	NA
