"treatment","genotype","replicate","age","clutch1","clutches","fecundity","dead","lifespan","death","size_m","size_c1","size_c3"
"T1","Mugg6b",26,11,2,3,10,"1",18,0,1535.6,584.2,594.4
"T1","Mugg6b",180,11,1,3,9,"1",18,0,1745.31,NA,619.8
"T1","Mugg6b",178,17,3,3,12,"0",22,0,1717.62,604.4,623
"T1","Mugg6b",173,12,3,3,9,"0",17,0,1608.11,558.1,609.9
"T1","Mugg6b",30,13,1,3,7,"0",17,0,1486.01,586,602.7
"T1","Mugg6b",148,NA,NA,0,NA,NA,0,1,NA,NA,NA
"T1","Mugg6b",55,15,2,3,11,"0",19,0,1737.73,594.8,605.2
"T1","Mugg6b",51,12,3,3,13,"0",17,0,1534.33,565.9,584.3
"T1","Mugg6b",52,12,2,3,11,"0",17,0,1688.73,592.2,566
"T1","Mugg6b",187,12,3,3,10,"0",17,0,1680.05,567.2,599.2
"T1","Mugg6b",179,12,2,3,10,"0",16,0,1527.06,592.3,614.8
"T1","Mugg6b",205,11,2,3,8,"1",16,0,1573.26,576.5,607.2
"T1","Mugg6b",207,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T1","Mugg6b",193,10,1,3,10,"0",17,0,1427,592.1,600
"T1","Mugg6b",181,15,3,3,13,"0",20,0,1536.41,607.4,590
"T2","Mugg6b",24,9,2,3,6,"4",14,0,1541.75,646.2,NA
"T2","Mugg6b",27,9,6,3,14,"0",14,0,1586.77,585.4,649.5
"T2","Mugg6b",152,16,3,3,9,"0",20,0,1727.05,621,641.9
"T2","Mugg6b",33,NA,NA,0,NA,NA,7,1,NA,NA,NA
"T2","Mugg6b",56,9,4,3,12,"0",13,0,1535.51,592.6,631.7
"T2","Mugg6b",128,9,2,3,9,"0",14,0,1614.43,642.2,626.4
"T2","Mugg6b",50,8,2,3,11,"0",12,0,1615.28,597.1,625.2
"T2","Mugg6b",17,11,4,3,12,"0",15,0,1707.86,607,661.9
"T2","Mugg6b",14,8,2,3,13,"0",12,0,1678.18,588.9,653.7
"T2","Mugg6b",133,9,2,3,9,"0",14,0,1530.16,591.2,645.6
"T2","Mugg6b",132,9,2,3,10,"0",14,0,1600.22,644.3,634.3
"T2","Mugg6b",143,11,4,3,9,"0",16,0,1653.04,654.2,680.7
"T2","Mugg6b",145,9,3,3,11,"0",14,0,1546.57,621.3,630.2
"T2","Mugg6b",158,NA,NA,0,NA,NA,4,1,NA,NA,NA
"T2","Mugg6b",23,15,2,1,2,"0",15,1,NA,582.1,NA
"T3","Mugg6b",190,10,2,3,4,"0",16,0,1747.82,590,NA
"T3","Mugg6b",53,10,2,3,5,"0",15,0,1584.18,572,662.8
