"Exposure";"Food";"Clone";"Replicate";"Total_offspring";"Survived";"Age_death";"Infected";"Spore_count"
"Control";"Scenedesmus";"AMME_12";1;17;1;35;0;0
"Control";"Scenedesmus";"AMME_12";2;11;1;35;0;0
"Control";"Scenedesmus";"AMME_12";3;13;1;35;0;0
"Control";"Scenedesmus";"AMME_12";4;12;1;35;0;0
"Control";"Scenedesmus";"AMME_12";5;19;1;35;0;0
"Control";"Scenedesmus";"AMME_12";6;16;1;35;0;0
"Control";"Scenedesmus";"AMME_12";7;12;1;35;0;0
"Control";"Scenedesmus";"AMME_12";8;2;0;7;0;0
"Control";"Scenedesmus";"AMME_12";9;9;1;35;0;0
"Control";"Scenedesmus";"AMME_12";10;11;1;35;0;0
"Control";"Scenedesmus";"AMME_12";11;12;1;35;0;0
"Control";"Scenedesmus";"AMME_12";12;9;1;35;0;0
"Control";"Scenedesmus";"AMME_12";13;11;1;35;0;0
"Control";"Scenedesmus";"AMME_12";14;11;1;35;0;0
"Control";"Scenedesmus";"AMME_12";15;13;1;35;0;0
"Control";"Scenedesmus";"AMME_12";16;14;1;35;0;0
"Control";"Scenedesmus";"AMME_12";17;17;1;35;0;0
"Control";"Scenedesmus";"AMME_12";18;18;1;35;0;0
"Control";"Scenedesmus";"AMME_12";19;6;0;18;0;0
"Control";"Scenedesmus";"AMME_12";20;13;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";1;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";2;4;0;6;0;0
"Control";"Scenedesmus";"MUGG_23";3;11;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";4;9;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";5;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";6;13;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";7;6;0;12;0;0
"Control";"Scenedesmus";"MUGG_23";8;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";9;9;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";10;9;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";11;10;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";12;13;0;18;0;0
"Control";"Scenedesmus";"MUGG_23";13;11;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";14;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";15;14;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";16;10;0;29;0;0
"Control";"Scenedesmus";"MUGG_23";17;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";18;11;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";19;12;1;35;0;0
"Control";"Scenedesmus";"MUGG_23";20;13;1;35;0;0
"Control";"Microcystis";"AMME_12";1;2;0;28;0;0
"Control";"Microcystis";"AMME_12";2;3;1;35;0;0
"Control";"Microcystis";"AMME_12";3;0;1;35;0;0
"Control";"Microcystis";"AMME_12";4;0;1;35;0;0
"Control";"Microcystis";"AMME_12";5;4;1;35;0;0
"Control";"Microcystis";"AMME_12";6;2;1;35;0;0
"Control";"Microcystis";"AMME_12";7;3;0;27;0;0
