"treatment";"genotype";"replicate";"age";"clutch1";"clutches";"fecundity";"dead";"lifespan";"death";"size_m_mm";"size_c1_mm";"size_c3_mm"
"T2";"Mugg6b";24;9;2;3;6;6;14;0;1.54175;0.6462;NA
"T2";"Mugg6b";27;9;6;3;14;2;14;0;1.58677;0.5854;0.6495
"T2";"Mugg6b";152;16;3;3;9;2;20;0;1.72705;0.621;0.6419
"T2";"Mugg6b";33;NA;NA;0;NA;NA;7;1;NA;NA;NA
"T2";"Mugg6b";56;9;4;3;12;2;13;0;1.53551;0.5926;0.6317
"T2";"Mugg6b";128;9;2;3;9;2;14;0;1.61443;0.6422;0.6264
"T2";"Mugg6b";50;8;2;3;11;2;12;0;1.61528;0.5971;0.6252
"T2";"Mugg6b";17;11;4;3;12;2;15;0;1.70786;0.607;0.6619
"T2";"Mugg6b";14;8;2;3;13;2;12;0;1.67818;0.5889;0.6537
"T2";"Mugg6b";133;9;2;3;9;2;14;0;1.53016;0.5912;0.6456
"T2";"Mugg6b";132;9;2;3;10;2;14;0;1.60022;0.6443;0.6343
"T2";"Mugg6b";143;11;4;3;9;2;16;0;1.65304;0.6542;0.6807
"T2";"Mugg6b";145;9;3;3;11;2;14;0;1.54657;0.6213;0.6302
"T2";"Mugg6b";158;NA;NA;0;NA;NA;4;1;NA;NA;NA
"T2";"Mugg6b";23;15;2;1;2;2;15;1;NA;0.5821;NA
"T2";"Mugg7a";172;8;1;3;6;2;13;0;1.57491;0.5951;0.5939
"T2";"Mugg7a";49;8;1;3;8;2;13;0;1.54753;0.6147;0.625
"T2";"Mugg7a";39;NA;NA;0;NA;1;0;1;NA;NA;NA
"T2";"Mugg7a";34;NA;NA;0;NA;1;7;1;NA;NA;NA
"T2";"Mugg7a";25;11;4;3;10;2;15;0;1.57027;0.5923;0.6137
"T2";"Mugg7a";72;8;2;3;10;2;13;0;1.53801;0.5964;0.6343
"T2";"Mugg7a";73;8;3;3;11;2;12;0;1.55559;0.5851;0.5616
"T2";"Mugg7a";71;10;2;3;11;2;15;0;1.55622;0.5834;0.6221
"T2";"Mugg7a";213;8;2;3;9;2;13;0;1.56833;0.5976;0.568
"T2";"Mugg7a";167;8;1;3;8;2;17;0;1.71851;0.608;0.5823
"T2";"Mugg7a";162;NA;NA;0;NA;1;7;1;NA;NA;NA
"T2";"Mugg7a";202;10;3;3;12;2;15;0;1.59641;0.6438;0.6553
"T2";"Mugg7a";44;10;4;3;14;2;14;0;1.64402;NA;0.606
"T2";"Mugg7a";35;7;1;3;9;2;12;0;1.57125;0.6254;0.623
"T2";"Mugg7a";29;12;3;3;11;2;17;0;1.79957;0.5799;0.5914
"T2";"Mugg11c";28;NA;NA;0;NA;1;4;1;NA;NA;NA
"T2";"Mugg11c";13;8;3;3;8;2;13;0;1.34059;0.5966;0.5911
"T2";"Mugg11c";238;14;4;3;11;2;18;0;1.60453;0.5617;0.5939
"T2";"Mugg11c";126;8;1;3;11;2;12;0;1.42538;0.6335;0.5884
"T2";"Mugg11c";9;8;2;3;10;2;12;0;1.28043;0.5691;0.5978
"T2";"Mugg11c";239;8;2;3;10;2;13;0;1.42436;0.5793;0.5696
"T2";"Mugg11c";6;8;2;3;12;2;12;0;1.47003;0.5816;0.5952
"T2";"Mugg11c";15;8;2;3;11;2;12;0;1.36107;0.5727;0.5889
"T2";"Mugg11c";22;8;1;3;10;2;12;0;1.43125;0.6837;0.5916
"T2";"Mugg11c";5;NA;NA;0;NA;1;0;1;NA;NA;NA
"T2";"Mugg11c";123;8;2;3;10;2;12;0;1.34737;0.5934;0.5756
"T2";"Mugg11c";124;8;2;3;10;2;13;0;1.4429;0.5945;0.5873
"T2";"Mugg11c";48;7;2;3;9;2;12;0;1.31431;0.5959;0.5806
"T2";"Mugg11c";4;7;2;3;11;2;12;0;1.4075;0.5836;0.5902
"T2";"Mugg13c";96;9;2;3;8;2;14;0;1.57995;0.6834;0.6679
"T2";"Mugg13c";171;9;2;3;9;2;14;0;1.63578;0.6092;0.6564
"T2";"Mugg13c";112;NA;NA;0;NA;1;0;1;NA;NA;NA
"T2";"Mugg13c";108;NA;NA;0;NA;1;4;1;NA;NA;NA
"T2";"Mugg13c";97;NA;NA;0;NA;1;7;1;NA;NA;NA
"T2";"Mugg13c";157;9;2;3;9;2;14;0;1.53736;NA;0.6481
"T2";"Mugg13c";110;9;1;3;9;2;13;0;1.56955;0.5982;0.6606
"T2";"Mugg13c";166;9;2;3;7;2;14;0;1.52835;0.6083;0.635
"T2";"Mugg13c";189;NA;NA;0;NA;1;0;1;NA;NA;NA
"T2";"Mugg13c";191;9;1;3;9;2;13;0;1.50917;0.6017;0.6216
"T2";"Mugg13c";192;NA;NA;0;NA;1;0;1;NA;NA;NA
"T2";"Mugg13c";194;9;2;3;11;2;14;0;1.58562;0.6307;0.7089
"T2";"Mugg13c";104;9;2;3;11;2;14;0;1.61921;0.6499;0.6274
"T2";"Mugg13c";220;9;2;3;11;2;13;0;1.66704;0.6031;0.637
"T2";"Mugg13c";198;9;2;3;8;2;14;0;NA;0.5955;0.6458
